,actual,country,date,forecast,impact,new,previous,time
236,2.9%,USD,"Wednesday, September 26, 2018",,Medium,USD MBA Mortgage Applications (SEP 21),1.6%,11:00
237,629k,USD,"Wednesday, September 26, 2018",630k,Low,USD New Home Sales (AUG),608k,14:00
238,3.5%,USD,"Wednesday, September 26, 2018",0.5%,Medium,USD New Home Sales (MoM) (AUG),-1.6%,14:00
239,1852,USD,"Wednesday, September 26, 2018",-1500k,Medium,USD DOE U.S. Crude Oil Inventories (SEP 21),-2057k,14:30
240,461k,USD,"Wednesday, September 26, 2018",,Low,USD DOE Cushing OK Crude Inventory (SEP 21),-1250k,14:30
241,1530k,USD,"Wednesday, September 26, 2018",700k,Low,USD DOE U.S. Gasoline Inventories (SEP 21),-1719k,14:30
242,-2241,USD,"Wednesday, September 26, 2018",250k,Low,USD DOE U.S. Distillate Inventory (SEP 21),839k,14:30
243,2.25%,USD,"Wednesday, September 26, 2018",2.25%,High,USD FOMC Rate Decision (Upper Bound) (SEP 26),2.00%,18:00
244,2.00%,USD,"Wednesday, September 26, 2018",2.00%,High,USD FOMC Rate Decision (Lower Bound) (SEP 26),1.75%,18:00
245,2.20%,USD,"Wednesday, September 26, 2018",,Medium,USD Interest Rate on Excess Reserves (SEP 27),1.95%,18:00
246,,USD,"Wednesday, September 26, 2018",,High,USD Fed's Powell Holds Press Conference Following FOMC Decision,,18:30
247,1.75%,NZD,"Wednesday, September 26, 2018",1.75%,High,NZD RBNZ Official Cash Rate (SEP 27),1.75%,21:00
248,2.12%,CNY,"Thursday, September 27, 2018",,Low,CNY Swift Global Payments CNY (AUG),2.04%,01:00
249,,JPY,"Thursday, September 27, 2018",,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,01:10
250,,JPY,"Thursday, September 27, 2018",,Low,JPY BOJ Outright Bond Purchase 3~5 Years,,01:10
251,,JPY,"Thursday, September 27, 2018",,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,01:10
252,,JPY,"Thursday, September 27, 2018",,Low,JPY BOJ Outright Bond Purchase 25 Years~,,01:10
253,9.2%,CNY,"Thursday, September 27, 2018",,Low,CNY Industrial Profits (YoY) (AUG),16.2%,01:30
254,0.6%,AUD,"Thursday, September 27, 2018",,Low,AUD Job Vacancies (AUG),6.2%,01:30
255,10.6,EUR,"Thursday, September 27, 2018",10.5,Medium,EUR German GfK Consumer Confidence (OCT),10.5,06:00
256,,JPY,"Thursday, September 27, 2018",,High,JPY BOJ Kuroda speaks in Tokyo,,06:35
257,3.5%,EUR,"Thursday, September 27, 2018",3.8%,Low,EUR Euro-Zone M3 Money Supply (YoY) (AUG),4.0%,08:00
258,,EUR,"Thursday, September 27, 2018",,Medium,EUR ECB Publishes Economic Bulletin,,08:00
259,110.9,EUR,"Thursday, September 27, 2018",111.2,Low,EUR Euro-Zone Economic Confidence (SEP),111.6,09:00
260,1.21,EUR,"Thursday, September 27, 2018",1.19,Low,EUR Euro-Zone Business Climate Indicator (SEP),1.21,09:00
261,4.7,EUR,"Thursday, September 27, 2018",5.1,Low,EUR Euro-Zone Industrial Confidence (SEP),5.6,09:00
262,14.6,EUR,"Thursday, September 27, 2018",14.6,Low,EUR Euro-Zone Services Confidence (SEP),14.4,09:00
263,-2.9,EUR,"Thursday, September 27, 2018",-2.9,Low,EUR Euro-Zone Consumer Confidence (SEP F),-1.9,09:00
264,61.4,CAD,"Thursday, September 27, 2018",,Low,CAD CFIB Business Barometer (SEP),61.6,10:00
265,,GBP,"Thursday, September 27, 2018",,Low,GBP BOE's Haldane speaks in London,,11:45
266,0.4%,EUR,"Thursday, September 27, 2018",0.1%,Medium,EUR German Consumer Price Index (MoM) (SEP P),0.1%,12:00
267,2.3%,EUR,"Thursday, September 27, 2018",2.0%,High,EUR German Consumer Price Index (YoY) (SEP P),2.0%,12:00
268,-$75.8b,USD,"Thursday, September 27, 2018",-$70.6b,High,USD Advance Goods Trade Balance (AUG),-$72.0b,12:30
269,0.7%,USD,"Thursday, September 27, 2018",,Low,USD Retail Inventories (MoM) (AUG),0.6%,12:30
270,0.8%,USD,"Thursday, September 27, 2018",0.3%,Medium,USD Wholesale Inventories (MoM) (AUG P),0.6%,12:30
271,3.0%,USD,"Thursday, September 27, 2018",3.0%,Medium,USD Gross Domestic Product Price Index (2Q T),3.0%,12:30
272,4.2%,USD,"Thursday, September 27, 2018",4.2%,High,USD Gross Domestic Product Annualized (QoQ) (2Q T),4.2%,12:30
273,3.8%,USD,"Thursday, September 27, 2018",3.8%,Medium,USD Personal Consumption (2Q T),3.8%,12:30
274,2.1%,USD,"Thursday, September 27, 2018",2.0%,Medium,USD Core Personal Consumption Expenditure (QoQ) (2Q T),2.0%,12:30
275,4.5%,USD,"Thursday, September 27, 2018",2.0%,High,USD Durable Goods Orders (AUG P),-1.2%,12:30
276,0.1%,USD,"Thursday, September 27, 2018",0.4%,Medium,USD Durables Ex Transportation (AUG P),0.2%,12:30
277,-0.5%,USD,"Thursday, September 27, 2018",0.4%,Low,USD Cap Goods Orders Nondef Ex Air (AUG P),1.5%,12:30
278,0.1%,USD,"Thursday, September 27, 2018",0.5%,Low,USD Cap Goods Ship Nondef Ex Air (AUG P),1.1%,12:30
279,214k,USD,"Thursday, September 27, 2018",210k,Medium,USD Initial Jobless Claims (SEP 22),202k,12:30
280,1661k,USD,"Thursday, September 27, 2018",1678k,Medium,USD Continuing Claims (SEP 15),1645k,12:30
281,,EUR,"Thursday, September 27, 2018",,High,EUR ECB President Draghi Addresses ESRB Conference in Frankfurt,,13:30
282,,GBP,"Thursday, September 27, 2018",,High,GBP BOE's Carney chairs panel in Frankfurt.,,14:00
283,-1.8%,USD,"Thursday, September 27, 2018",-0.5%,Low,USD Pending Home Sales (MoM) (AUG),-0.8%,14:00
284,-2.5%,USD,"Thursday, September 27, 2018",-1.0%,Medium,USD Pending Home Sales (YoY) (AUG),-0.7%,14:00
285,46,USD,"Thursday, September 27, 2018",61,Low,USD EIA Working Natural Gas Implied Flow (SEP 21),86,14:30
286,46,USD,"Thursday, September 27, 2018",61,Low,USD EIA Natural Gas Storage Change (SEP 21),86,14:30
287,13,USD,"Thursday, September 27, 2018",17,Low,USD Kansas City Fed Manf. Activity (SEP),14,15:00
288,,EUR,"Thursday, September 27, 2018",,Low,EUR ECB's Praet Speaks at King's College London,,17:00
289,,USD,"Thursday, September 27, 2018",,Low,USD U.S. to Sell 7-Year Notes,,17:00
290,,USD,"Thursday, September 27, 2018",,Low,USD Fed's Kaplan Speaks at Forum for Minority Banking,,18:00
291,,USD,"Thursday, September 27, 2018",,High,USD Powell Makes Brief Remarks on U.S. Economy at Senate Event,,20:30
292,,CAD,"Thursday, September 27, 2018",,High,CAD Poloz Speech in New Brunswick,,21:45
293,117.6,NZD,"Thursday, September 27, 2018",,Low,NZD ANZ Consumer Confidence Index (SEP),117.6,22:00
294,0.0%,NZD,"Thursday, September 27, 2018",,Low,NZD ANZ Consumer Confidence (MoM) (SEP),-0.7%,22:00
295,7.8%,NZD,"Thursday, September 27, 2018",,Medium,NZD Building Permits (MoM) (AUG),-10.8%,22:45
296,-9,GBP,"Thursday, September 27, 2018",-8,Medium,GBP GfK Consumer Confidence (SEP),-7,23:01
297,29,GBP,"Thursday, September 27, 2018",,Low,GBP Lloyds Business Barometer (SEP),23,23:01
298,1.63,JPY,"Thursday, September 27, 2018",1.63,Low,JPY Job-To-Applicant Ratio (AUG),1.63,23:30
299,2.4%,JPY,"Thursday, September 27, 2018",2.5%,Medium,JPY Jobless Rate (AUG),2.5%,23:30
300,1.3%,JPY,"Thursday, September 27, 2018",1.1%,Low,JPY Tokyo Consumer Price Index (YoY) (SEP),1.2%,23:30
301,1.0%,JPY,"Thursday, September 27, 2018",0.9%,Low,JPY Tokyo Consumer Price Index Ex-Fresh Food (YoY) (SEP),0.9%,23:30
302,0.7%,JPY,"Thursday, September 27, 2018",0.6%,Low,"JPY Tokyo CPI Ex-Fresh Food, Energy (YoY) (SEP)",0.6%,23:30
303,,JPY,"Thursday, September 27, 2018",,Low,JPY BOJ Summary of Opinions,,23:50
304,¥1505.0b,JPY,"Thursday, September 27, 2018",,Low,JPY Japan Buying Foreign Bonds (Yen) (SEP 21),¥2330.0b,23:50
305,¥297.1b,JPY,"Thursday, September 27, 2018",,Low,JPY Japan Buying Foreign Stocks (Yen) (SEP 21),¥233.0b,23:50
306,¥-2297.6b,JPY,"Thursday, September 27, 2018",,Low,JPY Foreign Buying Japan Bonds (SEP 21),¥266.3b,23:50
307,-¥519.8b,JPY,"Thursday, September 27, 2018",,Low,JPY Foreign Buying Japan Stocks (SEP 21),-¥1482.3b,23:50
308,0.9%,JPY,"Thursday, September 27, 2018",0.5%,Low,JPY Retail Trade s.a. (MoM) (AUG),0.1%,23:50
309,2.7%,JPY,"Thursday, September 27, 2018",2.0%,Medium,JPY Retail Trade (YoY) (AUG),1.5%,23:50
310,0.7%,JPY,"Thursday, September 27, 2018",1.4%,Low,JPY Industrial Production (MoM) (AUG P),-0.1%,23:50
311,0.6%,JPY,"Thursday, September 27, 2018",1.5%,Medium,JPY Industrial Production (YoY) (AUG P),2.2%,23:50
312,-0.1%,JPY,"Thursday, September 27, 2018",0.3%,Medium,JPY Large Retailers' Sales (AUG),-1.6%,23:50
313,,CNY,"Friday, September 28, 2018",,Low,CNY BoP Current Account Balance (2Q F),$5.8b,
314,0.5%,AUD,"Friday, September 28, 2018",0.4%,Low,AUD Private Sector Credit (MoM) (AUG),0.4%,01:30
315,4.5%,AUD,"Friday, September 28, 2018",4.3%,Medium,AUD Private Sector Credit (YoY) (AUG),4.4%,01:30
316,-2.0%,JPY,"Friday, September 28, 2018",,Low,JPY Vehicle Production (YoY) (JUL),-100.0%,04:00
317,0.5%,JPY,"Friday, September 28, 2018",,Medium,JPY Construction Orders (YoY) (AUG),-9.3%,05:00
318,0.957m,JPY,"Friday, September 28, 2018",0.946m,Low,JPY Annualized Housing Starts (AUG),0.958m,05:00
319,1.6%,JPY,"Friday, September 28, 2018",0.3%,Medium,JPY Housing Starts (YoY) (AUG),-0.7%,05:00
320,102.2,CHF,"Friday, September 28, 2018",101.1,Medium,CHF KOF Leading Indicator (SEP),98.9,07:00
321,23K,EUR,"Friday, September 28, 2018",-9k,High,EUR German Unemployment Change (000's) (SEP),-8k,07:55
322,5.1%,EUR,"Friday, September 28, 2018",5.2%,High,EUR German Unemployment Claims Rate s.a. (SEP),5.2%,07:55
323,£-20.32B,GBP,"Friday, September 28, 2018",-19.4b,Low,GBP Current Account Balance (2Q),-17.7b,08:30
324,0.4%,GBP,"Friday, September 28, 2018",0.4%,Low,GBP Gross Domestic Product (QoQ) (2Q F),0.1%,08:30
325,1.2%,GBP,"Friday, September 28, 2018",1.3%,Medium,GBP Gross Domestic Product (YoY) (2Q F),1.1%,08:30
326,-0.7%,GBP,"Friday, September 28, 2018",0.5%,Low,GBP Total Business Investment (QoQ) (2Q F),-0.5%,08:30
327,-0.2%,GBP,"Friday, September 28, 2018",0.8%,Low,GBP Total Business Investment (YoY) (2Q F),2.3%,08:30
328,0.9%,EUR,"Friday, September 28, 2018",1.1%,High,EUR Euro-Zone Consumer Price Index Core (YoY) (SEP A),1.0%,09:00
329,2.1%,EUR,"Friday, September 28, 2018",2.1%,High,EUR Euro-Zone Consumer Price Index Estimate (YoY) (SEP),2.0%,09:00
330,-0.5%,CAD,"Friday, September 28, 2018",-0.4%,Low,CAD Industrial Product Price (MoM) (AUG),-0.2%,12:30
331,-4.6%,CAD,"Friday, September 28, 2018",,Low,CAD Raw Materials Price Index (MoM) (AUG),0.7%,12:30
332,0.2%,CAD,"Friday, September 28, 2018",0.1%,Medium,CAD Gross Domestic Product (MoM) (JUL),0.0%,12:30
333,2.4%,CAD,"Friday, September 28, 2018",2.2%,High,CAD Gross Domestic Product (YoY) (JUL),2.4%,12:30
334,0.0%,USD,"Friday, September 28, 2018",0.1%,Medium,USD Personal Consumption Expenditure Core (MoM) (AUG),0.2%,12:30
335,2.0%,USD,"Friday, September 28, 2018",2.0%,High,USD Personal Consumption Expenditure Core (YoY) (AUG),2.0%,12:30
336,0.1%,USD,"Friday, September 28, 2018",0.1%,Low,USD Personal Consumption Expenditure Deflator (MoM) (AUG),0.1%,12:30
337,2.2%,USD,"Friday, September 28, 2018",2.2%,Low,USD Personal Consumption Expenditure Deflator (YoY) (AUG),2.3%,12:30
338,0.3%,USD,"Friday, September 28, 2018",0.4%,Medium,USD Personal Income (AUG),0.3%,12:30
339,0.3%,USD,"Friday, September 28, 2018",0.3%,Medium,USD Personal Spending (AUG),0.4%,12:30
340,0.2%,USD,"Friday, September 28, 2018",0.2%,Medium,USD Real Personal Spending (AUG),0.3%,12:30
341,,USD,"Friday, September 28, 2018",,Low,USD Fed's Barkin Speaks at Forum for Minorities in Banking,,12:30
342,,EUR,"Friday, September 28, 2018",,Low,EUR ECB's Praet Speaks in Frankfurt,,12:35
343,,GBP,"Friday, September 28, 2018",,Low,GBP BOE's Ramsden speaks in London,,13:20
344,60.4,USD,"Friday, September 28, 2018",62,Medium,USD Chicago Purchasing Manager (SEP),63.6,13:45
345,100.1,USD,"Friday, September 28, 2018",100.6,Medium,USD U. of Mich. Sentiment (SEP F),100.8,14:00
346,115.2,USD,"Friday, September 28, 2018",,Low,USD U. of Mich. Current Conditions (SEP F),116.1,14:00
347,90.5,USD,"Friday, September 28, 2018",,Low,USD U. of Mich. Expectations (SEP F),91.1,14:00
348,2.7%,USD,"Friday, September 28, 2018",,Low,USD U. of Mich. 1 Yr Inflation (SEP F),2.8%,14:00
349,2.5%,USD,"Friday, September 28, 2018",,Low,USD U. of Mich. 5-10 Yr Inflation (SEP F),2.4%,14:00
350,1052,USD,"Friday, September 28, 2018",,Medium,USD Baker Hughes U.S. Rig Count (SEP 28),1053,17:00
351,,USD,"Friday, September 28, 2018",,Low,USD Fed's Williams Speaks in New York at Money Markets Conference,,20:45
352,,JPY,"Tuesday, September 18, 2018",,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,01:10
353,,JPY,"Tuesday, September 18, 2018",,Low,JPY BOJ Outright Bond Purchase 25 Years~,,01:10
354,,JPY,"Tuesday, September 18, 2018",,Low,JPY BOJ Outright Bond Purchase 5~10 Years,,01:10
355,-0.7%,AUD,"Tuesday, September 18, 2018",-0.7%,Low,AUD House Price Index (QoQ) (2Q),-0.7%,01:30
356,-0.6%,AUD,"Tuesday, September 18, 2018",-0.7%,Low,AUD House Price Index (YoY) (2Q),2.0%,01:30
357,,AUD,"Tuesday, September 18, 2018",,Medium,AUD RBA Meeting Minutes (SEP),,01:30
358,58.2%,NZD,"Tuesday, September 18, 2018",,Low,NZD Non Resident Bond Holdings (AUG),58.7%,03:00
359,,EUR,"Tuesday, September 18, 2018",,High,EUR ECB's Draghi Speaks in Paris,,07:15
360,0.9%,CAD,"Tuesday, September 18, 2018",0.6%,Low,CAD Manufacturing Sales (MoM) (JUL),1.3%,12:30
361,67,USD,"Tuesday, September 18, 2018",66,Medium,USD NAHB Housing Market Index (SEP),67,14:00
362,$2934,NZD,"Tuesday, September 18, 2018",,Medium,NZD Dairy Auction Avg. Winning Price MT (SEP 18),$2980,14:31
363,$2786,NZD,"Tuesday, September 18, 2018",,Medium,NZD Dairy Auction Whole Milk Powder MT (SEP 18),$2821,14:31
364,,USD,"Tuesday, September 18, 2018",,Low,USD U.S. to Sell 4-Week Bills,,15:30
365,$52.2b,USD,"Tuesday, September 18, 2018",$46.0b,Low,USD Total Net TIC Flows (JUL),$114.5b,20:00
366,$74.8b,USD,"Tuesday, September 18, 2018",,Medium,USD Net Long-term TIC Flows (JUL),-$36.5b,20:00
367,103.5,NZD,"Tuesday, September 18, 2018",,Medium,NZD Westpac Consumer Confidence (3Q),108.6,21:00
368,-1.619b,NZD,"Tuesday, September 18, 2018",-1.315b,Low,NZD BoP Current Account Balance (2Q),0.088bb,22:45
369,-3.3%,NZD,"Tuesday, September 18, 2018",-2.9%,Medium,NZD Current Account Gross Domestic Product Ratio YTD (2Q),-3.0%,22:45
370,-¥444.6b,JPY,"Tuesday, September 18, 2018",-¥483.2b,Medium,JPY Trade Balance (AUG),-¥231.9b,23:50
371,-¥190.4b,JPY,"Tuesday, September 18, 2018",-¥144.1b,Medium,JPY Trade Balance - BOP Basis (Yen) (AUG),-¥45.6b,23:50
372,6.6%,JPY,"Tuesday, September 18, 2018",5.2%,Low,JPY Exports (YoY) (AUG),3.9%,23:50
373,15.4%,JPY,"Tuesday, September 18, 2018",14.5%,Low,JPY Imports (YoY) (AUG),14.6%,23:50
374,0.06%,AUD,"Wednesday, September 19, 2018",,Medium,AUD Westpac Leading Index (MoM) (AUG),0.01%,00:30
375,0.6%,AUD,"Wednesday, September 19, 2018",,Low,AUD Skilled Vacancies (MoM) (AUG),0.2%,01:00
376,,AUD,"Wednesday, September 19, 2018",,Low,AUD RBA's Kent Speech in Sydney,,01:30
377,-0.10%,JPY,"Wednesday, September 19, 2018",-0.10%,High,JPY BOJ Rate Decision (SEP 19),-0.10%,02:47
378,0.00%,JPY,"Wednesday, September 19, 2018",0.00%,High,JPY BOJ 10-Yr Yield Target (SEP 19),0.00%,02:47
379,,CHF,"Wednesday, September 19, 2018",,Low,CHF SECO September 2018 Economic Forecasts,,05:45
380,30%,EUR,"Wednesday, September 19, 2018",,Low,EUR EU 27 New Car Registrations (AUG),5.2%,06:00
381,21.3b,EUR,"Wednesday, September 19, 2018",,Low,EUR Euro-Zone Current Account s.a. (euros) (JUL),23.8b,08:00
382,,GBP,"Wednesday, September 19, 2018",,Low,GBP BOE's Haldane Speaks in Estonia,,08:00
383,2.4%,GBP,"Wednesday, September 19, 2018",2.2%,Medium,GBP Consumer Price IndexH (YoY) (AUG),2.3%,08:30
384,0.7%,GBP,"Wednesday, September 19, 2018",0.5%,Medium,GBP Consumer Price Index (MoM) (AUG),0.0%,08:30
385,2.7%,GBP,"Wednesday, September 19, 2018",2.4%,High,GBP Consumer Price Index (YoY) (AUG),2.5%,08:30
386,2.1%,GBP,"Wednesday, September 19, 2018",1.8%,High,GBP Core Consumer Price Index (YoY) (AUG),1.9%,08:30
387,284.2,GBP,"Wednesday, September 19, 2018",283.4,Low,GBP Retail Price Index (AUG),281.7,08:30
388,0.9%,GBP,"Wednesday, September 19, 2018",0.6%,Low,GBP Retail Price Index (MoM) (AUG),0.1%,08:30
389,3.5%,GBP,"Wednesday, September 19, 2018",3.2%,Low,GBP Retail Price Index (YoY) (AUG),3.2%,08:30
390,3.4%,GBP,"Wednesday, September 19, 2018",3.2%,Low,GBP Retail Price Index Ex Mort Int.Payments (YoY) (AUG),3.3%,08:30
391,0.5%,GBP,"Wednesday, September 19, 2018",0.5%,Low,GBP Producer Price Index Input n.s.a. (MoM) (AUG),0.5%,08:30
392,8.7%,GBP,"Wednesday, September 19, 2018",9.1%,Low,GBP Producer Price Index Input n.s.a. (YoY) (AUG),10.3%,08:30
393,0.1%,GBP,"Wednesday, September 19, 2018",0.2%,Low,GBP Producer Price Index Output n.s.a. (MoM) (AUG),0.1%,08:30
394,2.9%,GBP,"Wednesday, September 19, 2018",2.9%,Low,GBP Producer Price Index Output n.s.a. (YoY) (AUG),3.1%,08:30
395,0.1%,GBP,"Wednesday, September 19, 2018",0.2%,Low,GBP Producer Price Index Output Core n.s.a. (MoM) (AUG),0.1%,08:30
396,2.1%,GBP,"Wednesday, September 19, 2018",2.1%,Low,GBP Producer Price Index Output Core n.s.a. (YoY) (AUG),2.3%,08:30
397,3.1%,GBP,"Wednesday, September 19, 2018",2.8%,Medium,GBP House Price Index (YoY) (JUL),3.2%,08:30
398,0.3%,EUR,"Wednesday, September 19, 2018",,Low,EUR Euro-Zone Construction Output s.a. (MoM) (JUL),0.7%,09:00
399,2.6%,EUR,"Wednesday, September 19, 2018",,Low,EUR Euro-Zone Construction Output w.d.a. (YoY) (JUL),3.0%,09:00
400,1.6%,USD,"Wednesday, September 19, 2018",,Medium,USD MBA Mortgage Applications (SEP 14),-1.8%,11:00
401,-$101.5b,USD,"Wednesday, September 19, 2018",-$103.4b,Low,USD Current Account Balance (2Q),-$121.7b,12:30
402,1282k,USD,"Wednesday, September 19, 2018",1238k,Low,USD Housing Starts (AUG),1174k,12:30
403,9.2%,USD,"Wednesday, September 19, 2018",5.7%,Medium,USD Housing Starts (MoM) (AUG),-0.3%,12:30
404,1229k,USD,"Wednesday, September 19, 2018",1310k,Low,USD Building Permits (AUG),1303k,12:30
405,-5.7%,USD,"Wednesday, September 19, 2018",0.5%,Medium,USD Building Permits (MoM) (AUG),0.9%,12:30
406,,EUR,"Wednesday, September 19, 2018",,High,EUR ECB's Draghi speaks in Berlin,,13:00
407,-2057k,USD,"Wednesday, September 19, 2018",-2500k,Medium,USD DOE U.S. Crude Oil Inventories (SEP 14),-5296k,14:30
408,-1250k,USD,"Wednesday, September 19, 2018",,Low,USD DOE Cushing OK Crude Inventory (SEP 14),-1242k,14:30
409,-1719k,USD,"Wednesday, September 19, 2018",100k,Low,USD DOE U.S. Gasoline Inventories (SEP 14),1250k,14:30
410,839k,USD,"Wednesday, September 19, 2018",1500k,Low,USD DOE U.S. Distillate Inventory (SEP 14),6163k,14:30
411,1.0%,NZD,"Wednesday, September 19, 2018",0.8%,Medium,NZD Gross Domestic Product s.a. (QoQ) (2Q),0.5%,22:45
412,2.8%,NZD,"Wednesday, September 19, 2018",2.5%,High,NZD Gross Domestic Product (YoY) (2Q),2.7%,22:45
413,,JPY,"Wednesday, September 19, 2018",,Low,JPY BOJ 2Q Money Flow,,23:50
414,A$608m,AUD,"Thursday, September 20, 2018",,Low,AUD RBA FX Transactions Market (AUG),A$573m,01:30
415,-A$766m,AUD,"Thursday, September 20, 2018",,Low,AUD RBA FX Transactions Government (AUG),-A$672m,01:30
416,-A$2748m,AUD,"Thursday, September 20, 2018",,Low,AUD RBA FX Transactions Other (AUG),A$138m,01:30
417,,CHF,"Thursday, September 20, 2018",,Low,CHF SECO September 2018 Economic Forecasts,,05:45
418,0.6%,CHF,"Thursday, September 20, 2018",,Low,CHF Exports (MoM) (AUG),-2.0%,06:00
419,-2.8%,CHF,"Thursday, September 20, 2018",,Low,CHF Imports (MoM) (AUG),-1.3%,06:00
420,5.5%,CHF,"Thursday, September 20, 2018",,Low,CHF Swiss Watch Exports (YoY) (AUG),6.6%,06:00
421,-0.75%,CHF,"Thursday, September 20, 2018",-0.75%,High,CHF SNB Sight Deposit Interest Rate (SEP 20),-0.75%,07:30
422,-1.25%,CHF,"Thursday, September 20, 2018",-1.25%,High,CHF SNB 3-Month Libor Lower Target Range (SEP 20),-1.25%,07:30
423,-0.25%,CHF,"Thursday, September 20, 2018",-0.25%,High,CHF SNB 3-Month Libor Upper Target Range (SEP 20),-0.25%,07:30
424,0.3%,GBP,"Thursday, September 20, 2018",-0.3%,Low,GBP Retail Sales Ex Auto Fuel (MoM) (AUG),1.1%,08:30
425,3.5%,GBP,"Thursday, September 20, 2018",2.3%,Medium,GBP Retail Sales Ex Auto Fuel (YoY) (AUG),4.0%,08:30
426,0.3%,GBP,"Thursday, September 20, 2018",-0.2%,Low,GBP Retail Sales Inc Auto Fuel (MoM) (AUG),0.9%,08:30
427,3.3%,GBP,"Thursday, September 20, 2018",2.3%,Low,GBP Retail Sales Inc Auto Fuel (YoY) (AUG),3.8%,08:30
428,,CAD,"Thursday, September 20, 2018",,Low,CAD ADP Publishes August Payrolls Report (AUG),,12:30
429,22.9,USD,"Thursday, September 20, 2018",18,Medium,USD Philadelphia Fed Business Outlook (SEP),11.9,12:30
430,201k,USD,"Thursday, September 20, 2018",210k,Medium,USD Initial Jobless Claims (SEP 15),204k,12:30
431,1645k,USD,"Thursday, September 20, 2018",1705k,Medium,USD Continuing Claims (SEP 08),1696k,12:30
432,,EUR,"Thursday, September 20, 2018",,High,EUR EU Informal Meeting of Heads of State Summit Press Conference,,13:15
433,0.4%,USD,"Thursday, September 20, 2018",0.50%,Medium,USD Leading Index (AUG),0.7%,14:00
434,-2.9,EUR,"Thursday, September 20, 2018",-2.0,Medium,EUR Euro-Zone Consumer Confidence (SEP A),-1.9,14:00
435,5.34m,USD,"Thursday, September 20, 2018",5.37m,Low,USD Existing Home Sales (AUG),5.34m,14:00
436,0.0%,USD,"Thursday, September 20, 2018",0.5%,Medium,USD Existing Home Sales (MoM) (AUG),-0.7%,14:00
437,86,USD,"Thursday, September 20, 2018",81,Low,USD EIA Working Natural Gas Implied Flow (SEP 14),69,14:30
438,86,USD,"Thursday, September 20, 2018",81,Low,USD EIA Natural Gas Storage Change (SEP 14),69,14:30
439,$2190b,USD,"Thursday, September 20, 2018",,Low,USD Household Change in Net Worth (2Q),$1028b,16:00
440,,USD,"Thursday, September 20, 2018",,Low,USD U.S. to Sell 10-Year TIPS Reopening,,17:00
441,5010,NZD,"Thursday, September 20, 2018",,Low,NZD Net Migration s.a. (AUG),4750,22:45
442,1.3%,JPY,"Thursday, September 20, 2018",1.1%,High,JPY National Consumer Price Index (YoY) (AUG),0.9%,23:30
443,0.9%,JPY,"Thursday, September 20, 2018",0.9%,Medium,"JPY National Consumer Price Index Ex Food, Energy (YoY) (AUG)",0.8%,23:30
444,0.4%,JPY,"Thursday, September 20, 2018",0.4%,Medium,JPY National Consumer Price Index Ex-Fresh Food (YoY) (AUG),0.3%,23:30
445,,CNY,"Friday, September 21, 2018",,Low,CNY FX Net Settlement - Clients CNY (AUG),-2.9b,
446,52.9,JPY,"Friday, September 21, 2018",,Medium,JPY Nikkei Japan PMI Mfg (SEP P),52.5,00:30
447,,JPY,"Friday, September 21, 2018",,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,01:10
